"id","price","external_category","status","title","description","images","store","portal_status","shipping","shipping_weight_kg","free_shipping","hashtags","brand","model","stock"
"9788408225744-as_good_as_new","7.99","Infantil","as_good_as_new","Las Ratitas 1. Tres, dos, uno... ¡superpoderes!","Las ratitas: Tres, dos, uno... ¡superpoderes! Autor: Itarte (Familia), Las Ratitas Editorial: Destino Infantil & Juvenil (2020) Idioma: Español ISBN: 9788408225744 Descripción divertida y mágica que invita a los niños a explorar el mundo de la imaginación. A través de las aventuras de Las Ratitas, los pequeños lectores aprenderán sobre la amistad y el valor de ser únicos. Un libro ideal para despertar el amor por la lectura en los más jóvenes. Libro de segunda mano revisado. Gracias por apoyar la reutilizacion. Puede contener sellos o firmas de propietarios anteriores.","https://res.cloudinary.com/di9ks68wq/image/upload/v1779471259/revolibro/books/9788408225744-02/las-ratitas-1-tres-dos-uno-superpoderes-las-ratitas-front-1.webp|https://res.cloudinary.com/di9ks68wq/image/upload/v1779471261/revolibro/books/9788408225744-02/las-ratitas-1-tres-dos-uno-superpoderes-las-ratitas-other-2.webp","1","active","true","1","false","Infantil|Aventuras","","","1"
"9788498672220-good","5.22","Infantil - Humor","good","El diario de Greg. Un pringao total - Jeff Kinney","El diario de Greg. Un pringao total Autor: Jeff Kinney Editorial: RBA Libros, S.A. (2008) Idioma: Español ISBN: 9788498672220 Sumérgete en las divertidas aventuras de Greg Heffley, donde la risa y las situaciones cotidianas se entrelazan en un relato cautivador. Un libro perfecto para jóvenes lectores que buscan entretenimiento y conexión con sus propias experiencias. Libro de segunda mano revisado. Gracias por apoyar la reutilizacion. Puede contener sellos o firmas de propietarios anteriores.","static/covers/9788498672220-02/el-diario-de-greg-un-pringao-total-jeff-kinney-other-1.jpg","1","active","true","1","false","Infantil|Humor","","","2"
"9788413184449-as_good_as_new","5.99","Otros de no ficción","as_good_as_new","Los Futbolísimos 17","Los Futbolísimos 17 Autor: Roberto Santiago, Guillermo Esteban Bustos Editorial: EDICIONES SM (2020) Idioma: Español ISBN: 9788413184449 Únete a las divertidas aventuras de un grupo de jóvenes futbolistas en este emocionante libro. Con humor y acción, 'Los Futbolísimos 17' es perfecto para los amantes del deporte y la lectura. Una historia que atrapa y divierte a los más pequeños. ¡No te lo pierdas! Libro de segunda mano revisado. Gracias por apoyar la reutilizacion. Puede contener sellos o firmas de propietarios anteriores.","static/covers/9788413184449-01/los-futbolisimos-17-roberto-santiago-other-1.jpg","1","active","true","1","false","Infantil|Aventuras","","","1"
"9788421688144-good","5.99","Infantil","good","Festival de genialidades (más o menos) - Liz Pichon","Festival de genialidades (más o menos) Autor: Liz Pichon Editorial: Bruño (2012) Idioma: Español ISBN: 9788421688144 Esta obra divertida invita a los jóvenes lectores a explorar su creatividad a través de ilustraciones coloridas y una narrativa entretenida. Es ideal para fomentar el amor por la lectura de una manera amena y original. Libro de segunda mano en buen estado, revisado. Gracias por apoyar la reutilizacion. Puede contener sellos o firmas de propietarios anteriores.","https://res.cloudinary.com/di9ks68wq/image/upload/v1762092892/revolibro/books/9788421688144/festival-de-genialidades-mas-o-menos-liz-pichon-other-1.jpg|https://res.cloudinary.com/di9ks68wq/image/upload/v1762092894/revolibro/books/9788421688144/festival-de-genialidades-mas-o-menos-liz-pichon-other-2.jpg","1","active","true","1","false","Infantil","","","1"
"9788445071403-good","6.64","Ciencia ficción y fantasía","good","La comunidad del anillo - J.R.R. Tolkien","La comunidad del anillo Autor: J.R.R. Tolkien Editorial: Minotauro (2001) Idioma: Español ISBN: 9788445071403 Este clásico de la literatura fantástica te transporta a la Tierra Media, donde un grupo de héroes lucha para destruir el Anillo Único. Con personajes inolvidables y una narrativa cautivadora, es una obra que ha marcado generaciones. No te pierdas la oportunidad de leer este gran libro. Libro de segunda mano revisado. Gracias por apoyar la reutilización. Puede contener sellos o firmas de propietarios anteriores.","static/covers/9788445071403-03/la-comunidad-del-anillo-jrr-tolkien-front-1.jpg","1","active","true","1","false","Fantasía|Clásicos","","","2"
"9788478884452-fair","4.99","Juvenil - Fantasía y aventura","fair","Harry potter y la piedra filosofal - J. K. Rowling","Harry Potter y la piedra filosofal Autor: J. K. Rowling Editorial: Salamandra Publicacions Y Edicions, S.L. (2008) Idioma: Español ISBN: 9788478884452 Descubre el inicio de la mágica saga de Harry Potter. Acompaña a Harry en su viaje a Hogwarts y vive una aventura inolvidable. Perfecto para jóvenes y amantes de la fantasía. Libro de segunda mano revisado. Gracias por apoyar la reutilización. Puede contener sellos o firmas de propietarios anteriores.","https://res.cloudinary.com/di9ks68wq/image/upload/v1775603364/revolibro/books/9788478884452-04/harry-potter-y-la-piedra-filosofal-j-k-rowling-front-1.jpg|https://res.cloudinary.com/di9ks68wq/image/upload/v1775603365/revolibro/books/9788478884452-04/harry-potter-y-la-piedra-filosofal-j-k-rowling-other-2.jpg","1","active","true","1","false","Juvenil|Fantasía y aventura","","","1"
"9788478884957-as_good_as_new","9.49","Juvenil - Fantasía y aventura","as_good_as_new","Harry Potter y la cámara secreta - J. K. Rowling","Harry Potter y la cámara secreta Autor: J. K. Rowling Editorial: Lectorum Publications (1999) Idioma: Español ISBN: 9788478884957 Sumérgete en el mágico mundo de Harry Potter y la cámara secreta. Esta emocionante secuela sigue las aventuras de Harry en su segundo año en Hogwarts, donde nuevos misterios y peligros lo esperan. Un imperdible para los amantes de la fantasía y la literatura juvenil. Libro de segunda mano revisado. Gracias por apoyar la reutilizacion. Puede contener sellos o firmas de propietarios anteriores.","https://res.cloudinary.com/di9ks68wq/image/upload/v1771356691/revolibro/books/9788478884957-05/harry-potter-y-la-camara-secreta-j-k-rowling-front-1.jpg|https://res.cloudinary.com/di9ks68wq/image/upload/v1771356693/revolibro/books/9788478884957-05/harry-potter-y-la-camara-secreta-j-k-rowling-other-2.jpg","1","active","true","1","false","Juvenil|Fantasía y aventura","","","1"
"9788498674019-as_good_as_new","5.69","Infantil - Humor","as_good_as_new","Diario de Greg 2: La ley de Rodrick - Jeff Kinney","Diario de Greg 2: La ley de Rodrick Autor: Jeff Kinney Editorial: RBA libros (2009) Idioma: Español ISBN: 9788498674019 Sumérgete en las desventuras de Greg Heffley, donde el humor y la vida cotidiana se entrelazan en una narrativa divertida. Perfecto para jóvenes lectores que buscan risas y situaciones familiares con las que identificarse. ¡No te lo pierdas! Libro de segunda mano revisado. Gracias por apoyar la reutilizacion. Puede contener sellos o firmas de propietarios anteriores.","https://res.cloudinary.com/di9ks68wq/image/upload/v1768756449/revolibro/books/9788498674019-02/diario-de-greg-2-la-ley-de-rodrick-jeff-kinney-other-1.jpg|https://res.cloudinary.com/di9ks68wq/image/upload/v1768756450/revolibro/books/9788498674019-02/diario-de-greg-2-la-ley-de-rodrick-jeff-kinney-other-2.jpg","1","active","true","1","false","Infantil|Humor","","","1"
"9788435064149-good","8.54","Ciencia ficción y fantasía","good","La frontera de piedra - Anónimo","La frontera de piedra Autor: Anónimo Editorial: Desconocida (Desconocido) Idioma: Español ISBN: 9788435064149 Edicion: Primera edicion Sumérgete en 'La frontera de piedra', una novela cautivadora que desafía los límites entre la realidad y la fantasía. Perfecta para los amantes de la literatura de aventuras y relatos profundos. ¡No te pierdas este viaje inolvidable! Libro de segunda mano revisado. Gracias por apoyar la reutilizacion. Puede contener sellos o firmas de propietarios anteriores.","https://res.cloudinary.com/di9ks68wq/image/upload/v1769030833/revolibro/books/9788435064149-02/la-frontera-de-piedra-anonimo-other-1.jpg|https://res.cloudinary.com/di9ks68wq/image/upload/v1769030834/revolibro/books/9788435064149-02/la-frontera-de-piedra-anonimo-other-2.jpg","1","active","true","2","false","Fantasía|Clásicos","","","1"
"9788478884957-good","58.5","Juvenil - Fantasía y aventura","good","Harry Potter y la cámara secreta - J. K. Rowling","Harry Potter y la cámara secreta Autor: J. K. Rowling Editorial: Lectorum Publications (1999) Idioma: Español ISBN: 9788478884957 Sumérgete en el mágico mundo de Harry Potter y la cámara secreta. Esta emocionante secuela sigue las aventuras de Harry en su segundo año en Hogwarts, donde nuevos misterios y peligros lo esperan. Un imperdible para los amantes de la fantasía y la literatura juvenil. Libro de segunda mano revisado. Gracias por apoyar la reutilizacion. Puede contener sellos o firmas de propietarios anteriores.","https://res.cloudinary.com/di9ks68wq/image/upload/v1763666445/revolibro/books/9788478884957-02/harry-potter-y-la-camara-secreta-j-k-rowling-other-1.jpg|https://res.cloudinary.com/di9ks68wq/image/upload/v1763666446/revolibro/books/9788478884957-02/harry-potter-y-la-camara-secreta-j-k-rowling-other-2.jpg","1","active","true","1","false","Juvenil|Fantasía y aventura","","","1"
